FACILITY,FIELD_FAB,ALL_LOTS,DATETIME,TEXT,PREDICTION
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:06.414791+01:00,RULE_LTS1 0.0009369850158691 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:07.958849+01:00,MVOUT_Context_Lot_Scan_Go 0.0006759166717529 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:19.158177+01:00,RULE_LTS1 4.11904096603394 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:22.910104+01:00,RULE_LTS1 5.84370899200439 CTNSX00362,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:26.450831+01:00,MVOUT_Context_Lot_Scan_Go 0.982086896896362 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:36.555989+01:00,RULE_LTS1 0.136142015457153 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:30.321117+01:00,MVOUT_Context_Lot_Scan_Go 0.000946044921875 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:38.339558+01:00,RULE_LTS1 0.000903844833374 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:40.148933+01:00,MVOUT_Context_Lot_Scan_Go 0.0006370544433593 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:46.791554+01:00,Model_Context_Scan_Go 0.0009028911590576 CTNSX00362,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 08:08:49.180143+01:00,RULE_LTS1 0.000648021697998 CTNSX00362,0
